#File generated by LAMPLoopProfiler pass
#LAMP_Loop_ID Line_Number Function_Name BB_Name
1 0 main bbName58 bbName59 (no debugLoc2)
2 0 main bbName49 bbName50 (no debugLoc2)
3 0 main bbName44 bbName45 (no debugLoc2)
4 0 main bbName bbName1 (no debugLoc2)
5 0 log_2 bbName bbName1 (no debugLoc2)
6 0 InitX bbName2 bbName3 (no debugLoc2)
7 0 InitX bbName bbName1 (no debugLoc2)
8 0 CheckSum bbName2 bbName3 (no debugLoc2)
9 0 CheckSum bbName bbName1 (no debugLoc2)
10 0 PrintArray bbName2 bbName3 (no debugLoc2)
11 0 PrintArray bbName bbName1 (no debugLoc2)
12 0 InitU bbName2 bbName3 (no debugLoc2)
13 0 InitU bbName bbName1 (no debugLoc2)
14 0 InitU2 bbName2 bbName3 (no debugLoc2)
15 0 InitU2 bbName bbName1 (no debugLoc2)
16 0 SlaveStart .preheader bbName5 (no debugLoc2)
17 0 TouchArray bbName4 bbName5 (no debugLoc2)
18 0 TouchArray .preheader bbName3 (no debugLoc2)
19 0 TouchArray bbName bbName1 (no debugLoc2)
20 0 FFT1D .preheader.preheader .preheader (no debugLoc2)
21 0 FFT1D .split.us.preheader .split.us (no debugLoc2)
22 0 FFT1D ..split_crit_edge.preheader ..split_crit_edge (no debugLoc2)
23 0 FFT1D bbName7 bbName8 (no debugLoc2)
24 0 Transpose bbName24 bbName25 (no debugLoc2)
25 0 Transpose .preheader.preheader .preheader (no debugLoc2)
26 0 Transpose .preheader22.preheader .preheader22 (no debugLoc2)
27 0 Transpose bbName22 bbName23 (no debugLoc2)
28 0 Transpose bbName15 bbName16 (no debugLoc2)
29 0 Transpose .preheader23.preheader .preheader23 (no debugLoc2)
30 0 Transpose .preheader24.preheader .preheader24 (no debugLoc2)
31 0 Transpose bbName13 bbName14 (no debugLoc2)
32 0 Transpose bbName11 bbName12 (no debugLoc2)
33 0 Transpose bbName4 bbName5 (no debugLoc2)
34 0 Transpose .preheader25.preheader .preheader25 (no debugLoc2)
35 0 Transpose .preheader26.preheader .preheader26 (no debugLoc2)
36 0 Transpose bbName2 bbName3 (no debugLoc2)
37 0 Transpose bbName bbName1 (no debugLoc2)
38 0 FFT1DOnce bbName4 bbName5 (no debugLoc2)
39 0 FFT1DOnce bbName2 bbName3 (no debugLoc2)
40 0 FFT1DOnce bbName bbName1 (no debugLoc2)
41 0 TwiddleOneCol bbName bbName1 (no debugLoc2)
42 0 Scale bbName bbName1 (no debugLoc2)
43 0 CopyColumn bbName bbName1 (no debugLoc2)
44 0 Reverse bbName bbName1 (no debugLoc2)
45 0 BitReverse bbName bbName1 (no debugLoc2)
